model,make,make_id,generation,year_from,year_to,series,trim,body_type,number_of_seats,length_mm,width_mm,height_mm,wheelbase_mm,front_track_mm,rear_track_mm,curb_weight_kg,wheel_size_r14,ground_clearance_mm,trailer_load_with_brakes_kg,payload_kg,back_track_width_mm,front_track_width_mm,clearance_mm,Npęd na wszystkie koła_weight_kg,front_rear_axle_load_kg,max_trunk_capacity_l,minimum_trunk_capacity_l,maximum_torque_n_m,injection_type,overhead_camshaft,cylinder_layout,number_of_cylinders,compression_ratio,engine_type,valves_per_cylinder,boost_type,cylinder_bore_mm,stroke_cycle_mm,engine_placement,turnover_of_maximum_torque_rpm,max_power_kw,presence_of_intercooler,capacity_cm3,engine_hp,engine_hp_rpm,drive_wheels,number_of_gears,turning_circle_m,transmission,mixed_fuel_consumption_per_100_km_l,range_km,fuel_tank_capacity_l,acceleration_0_100_km/h_s,max_speed_km_per_h,fuel_grade,back_suspension,rear_brakes,front_brakes,front_suspension,car_class,country_of_origin,number_of_doors
Giulia,Alfa Romeo,1,105,1962,1977,Sedan,1.8 D MT,Sedan,5,4140,1560,1430,2510,1310,1270,1130,,114,,400,,,,1530,,480,480,108,Wielopunktowy wtrysk paliwa,,Inline,4,,Diesel,2,,79,88,,2200,,,1760,52,4000,Npęd na tylne koła,5,10,,,,,,,,,,,,,,
Giulietta,Alfa Romeo,1,116,1977,1981,Alfa Romeo Giulietta I Coupe,1.3 MT,,4,3980,1535,1320,2380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Włochy,2
Montreal,Alfa Romeo,1,1 generacja,1970,1979,Coupe,2.6 MT,,2,3962,1676,1207,2527,,,,195/70/R14,,,,1341,1372,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,Włochy,2
Spider,Alfa Romeo,1,115,1990,1993,Kabriolet,1.3 MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stelvio,Alfa Romeo,1,949,2017,2020,Crossover,2.0 AT Q4,Crossover,5,4687,1903,1671,2818,1613,1653,1735,,200,,,,,,,,1600,525,330,Wtrysk bezpoĹ›redni,,Inline,4,,Benzyna,4,Twin-scroll,84,90,,1750,,Obecny,1995,200,4500,Npęd na cztery koła,8,11,,,,,,,,,,,,,,
A7,Audi,2,2 generacja (4K),2018,2020,liftback,2.0 AMT 4WD,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8,Audi,2,2 generacja (D3),2002,2005,Sedan,3.0 AT 4WD,,5,5051,1894,1444,2944,,,1830,235/60/R16,,,,1615,1629,125,2430,,,500,450,,,V-type,6,17,diesel,4,Turbina,83,91,,1400,171,,2967,233,4000,Npęd na wszystkie koła,6,,Automatyczna,8,,,,,,,,,,,,
Q5,Audi,2,2 generacja,2016,2020,Crossover,2.0 TDI MT,Crossover,5,4663,1893,1659,2819,1616,1609,1660,,,,660,,,,2320,,1550,550,320,Common Rail,,Inline,4,,Diesel,4,Turbo,81,95,,3250,,,1968,150,4200,Npęd na przednie koła,6,11,,,,,,,,,,,,,,
Q7,Audi,2,2 generacja ( redesign),2019,,Crossover,3.0 l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlingo,Citroen,3,1 generacja,1996,2002,Minivan,1.1 MT,Minivan,5,4108,1719,1800,2690,1425,1440,995,,140,,,,,,1670,,2800,664,83,Wielopunktowy wtrysk paliwa,,Inline,4,,Benzyna,2,,,,,3800,,,1124,60,6200,Npęd na przednie koła,5,,Manualna,,620|850,55,21,,,,,,,,,
